Name des Datensatzes:	BLOCK 1
Wiederholrate [ns]:	19.604
Zeit Shift [ns] (fest):	0.000
Offset (fest):	3.211

Komponente 1
tau [ns]:	5.442096
A:	1.243711
%:	100.000000
f:	1.000000

t_irf	irf	t	daten	fit	res
[ns]	counts (offset korrigiert)	[ns]			counts 
1.391602	1.345679	1.660156	477.000000	398.315694	3.602707
1.416016	-1.654321	1.684570	437.000000	398.310419	1.850774
1.440430	0.345679	1.708984	423.000000	399.137747	1.160222
1.464844	6.345679	1.733398	431.000000	396.405251	1.666370
1.489258	1.345679	1.757812	419.000000	397.664460	1.042309
1.513672	1.345679	1.782227	414.000000	400.173965	0.679513
1.538086	0.345679	1.806641	447.000000	397.648507	2.334246
1.562500	3.345679	1.831055	421.000000	402.458273	0.903668
1.586914	0.345679	1.855469	417.000000	402.434455	0.713278
1.611328	1.345679	1.879883	444.000000	396.963661	2.232246
1.635742	-0.654321	1.904297	427.000000	393.817544	1.605812
1.660156	-1.654321	1.928711	434.000000	393.832403	1.928106
1.684570	1.345679	1.953125	439.000000	390.911978	2.295116
1.708984	2.345679	1.977539	408.000000	388.216301	0.979439
1.733398	-0.654321	2.001953	425.000000	386.167720	1.883642
1.757812	2.345679	2.026367	450.000000	382.025670	3.204341
1.782227	3.345679	2.050781	462.000000	384.605176	3.600733
1.806641	-0.654321	2.075195	467.000000	385.493851	3.771655
1.831055	5.345679	2.099609	436.000000	388.057833	2.296013
1.855469	1.345679	2.124023	407.000000	385.586608	1.061422
1.879883	-2.654321	2.148437	415.000000	381.447159	1.647044
1.904297	-0.654321	2.172852	439.000000	376.493659	2.983265
1.928711	1.345679	2.197266	441.000000	373.862520	3.197023
1.953125	-0.654321	2.221680	380.000000	381.713972	-0.087925
1.977539	-0.654321	2.246094	414.000000	380.103723	1.665911
2.001953	-0.654321	2.270508	404.000000	379.968290	1.195622
2.026367	-1.654321	2.294922	402.000000	377.956628	1.199174
2.050781	3.345679	2.319336	456.000000	376.165646	3.738586
2.075195	2.345679	2.343750	401.000000	376.894546	1.203769
2.099609	3.345679	2.368164	394.000000	374.261613	0.994406
2.124023	-0.654321	2.392578	368.000000	372.896397	-0.255242
2.148437	-1.654321	2.416992	414.000000	371.128066	2.107041
2.172852	-2.654321	2.441406	405.000000	367.476687	1.864548
2.197266	-0.654321	2.465820	402.000000	368.865384	1.652604
2.221680	7.345679	2.490234	389.000000	371.715473	0.876360
2.246094	0.345679	2.514648	381.000000	380.620792	0.019427
2.270508	1.345679	2.539062	437.000000	385.930128	2.443003
2.294922	-0.654321	2.563477	406.000000	397.707038	0.411573
2.319336	-0.654321	2.587891	406.000000	409.840461	-0.190599
2.343750	1.345679	2.612305	443.000000	420.042737	1.090732
2.368164	-0.654321	2.636719	465.000000	434.799725	1.400504
2.392578	0.345679	2.661133	438.000000	464.773526	-1.279289
2.416992	-0.654321	2.685547	515.000000	486.033310	1.276425
2.441406	-1.654321	2.709961	551.000000	553.667439	-0.113637
2.465820	2.345679	2.734375	633.000000	679.180959	-1.835528
2.490234	3.345679	2.758789	855.000000	912.777901	-1.975963
2.514648	8.345679	2.783203	1158.000000	1187.819272	-0.876280
2.539062	5.345679	2.807617	1492.000000	1582.410736	-2.340645
2.563477	10.345679	2.832031	2119.000000	2090.781769	0.613005
2.587891	11.345679	2.856445	2593.000000	2655.482761	-1.227041
2.612305	9.345679	2.880859	3296.000000	3283.811294	0.212307
2.636719	13.345679	2.905273	4240.000000	3927.531325	4.798700
2.661133	25.345679	2.929687	4919.000000	4561.046079	5.103742
