Name des Datensatzes:	BLOCK 2
Wiederholrate [ns]:	19.604
Zeit Shift [ns] (fest):	0.000
Offset (fest):	4.446

Komponente 1
tau [ns]:	5.907123
A:	0.010263
%:	100.000000
f:	1.000000

t_irf	irf	t	daten	fit	res
[ns]	counts (offset korrigiert)	[ns]			counts 
1.196289	-0.292683	1.660156	197.000000	193.695222	0.235456
1.220703	1.707317	1.684570	199.000000	192.880477	0.433801
1.245117	0.707317	1.708984	191.000000	192.110630	-0.080362
1.269531	4.707317	1.733398	187.000000	191.323189	-0.316143
1.293945	-2.292683	1.757812	170.000000	190.570150	-1.577658
1.318359	-0.292683	1.782227	207.000000	189.789063	1.196243
1.342773	-2.292683	1.806641	187.000000	189.021582	-0.147833
1.367187	-1.292683	1.831055	210.000000	188.246882	1.501108
1.391602	2.707317	1.855469	177.000000	187.475377	-0.787378
1.416016	1.707317	1.879883	198.000000	186.748592	0.799603
1.440430	-1.292683	1.904297	219.000000	186.004036	2.229661
1.464844	-4.292683	1.928711	186.000000	185.241782	0.055595
1.489258	-1.292683	1.953125	204.000000	184.503441	1.365032
1.513672	-0.292683	1.977539	185.000000	183.778529	0.089804
1.538086	2.707317	2.001953	196.000000	183.025454	0.926753
1.562500	-1.292683	2.026367	187.000000	182.254716	0.347010
1.586914	-1.292683	2.050781	181.000000	181.528694	-0.039298
1.611328	0.707317	2.075195	196.000000	180.784898	1.086793
1.635742	3.707317	2.099609	182.000000	180.085708	0.141897
1.660156	-3.292683	2.124023	185.000000	179.337479	0.416317
1.684570	-3.292683	2.148437	192.000000	178.654643	0.963118
1.708984	0.707317	2.172852	168.000000	177.933086	-0.766354
1.733398	-1.292683	2.197266	195.000000	177.204120	1.274389
1.757812	1.707317	2.221680	170.000000	176.467776	-0.496056
1.782227	-1.292683	2.246094	175.000000	175.755238	-0.057091
1.806641	-0.292683	2.270508	184.000000	175.045639	0.660124
1.831055	-1.292683	2.294922	162.000000	174.338967	-0.969441
1.855469	-1.292683	2.319336	173.000000	173.687132	-0.052242
1.879883	2.707317	2.343750	176.000000	172.996447	0.226401
1.904297	0.707317	2.368164	166.000000	172.329380	-0.491255
1.928711	-1.292683	2.392578	168.000000	171.779294	-0.291579
1.953125	0.707317	2.416992	178.000000	171.262629	0.504987
1.977539	1.707317	2.441406	155.000000	170.800018	-1.269088
2.001953	-1.292683	2.465820	163.000000	170.692388	-0.602514
2.026367	-3.292683	2.490234	158.000000	171.353653	-1.062360
2.050781	0.707317	2.514648	143.000000	172.126420	-2.435674
2.075195	-1.292683	2.539062	203.000000	173.913678	2.041460
2.099609	2.707317	2.563477	193.000000	176.077791	1.218087
2.124023	-2.292683	2.587891	174.000000	179.136428	-0.389392
2.148437	3.707317	2.612305	174.000000	182.784750	-0.665970
2.172852	-0.292683	2.636719	203.000000	187.757622	1.069805
2.197266	-1.292683	2.661133	177.000000	195.700714	-1.405632
2.221680	-2.292683	2.685547	221.000000	208.678671	0.828822
2.246094	-0.292683	2.709961	253.000000	232.610650	1.281867
2.270508	-0.292683	2.734375	269.000000	276.454816	-0.454528
2.294922	-0.292683	2.758789	322.000000	351.032745	-1.617932
2.319336	4.707317	2.783203	484.000000	469.499428	0.659117
2.343750	0.707317	2.807617	648.000000	636.211865	0.463082
2.368164	2.707317	2.832031	916.000000	850.368769	2.168517
2.392578	13.707317	2.856445	1103.000000	1108.544883	-0.166957
2.416992	16.707317	2.880859	1418.000000	1394.878088	0.614024
2.441406	21.707317	2.905273	1759.000000	1690.362881	1.636538
2.465820	55.707317	2.929687	2093.000000	1980.734779	2.453921
2.490234	129.707317	2.954102	2366.000000	2258.683427	2.206274
2.514648	140.707317	2.978516	2623.000000	2515.807099	2.092989
2.539062	238.707317	3.002930	2867.000000	2743.811409	2.300682
2.563477	275.707317	3.027344	3132.000000	2947.655628	3.293965
2.587891	362.707317	3.051758	3243.000000	3122.454852	2.116783
2.612305	420.707317	3.076172	3477.000000	3268.235416	3.540418
2.636719	549.707317	3.100586	3649.000000	3387.463898	4.329569
2.661133	837.707317	3.125000	3577.000000	3484.382835	1.548574
2.685547	1325.707317	3.149414	3618.000000	3560.049997	0.963428
2.709961	2385.707317	3.173828	3718.000000	3615.809560	1.675929
2.734375	4312.707317	3.198242	3743.000000	3656.499723	1.413864
2.758789	7289.707317	3.222656	3786.000000	3684.965679	1.642021
2.783203	11545.707317	3.247070	3786.000000	3704.051273	1.331840
2.807617	16238.707317	3.271484	3735.000000	3715.114022	0.325388
2.832031	20873.707317	3.295898	3851.000000	3720.087375	2.109574
2.856445	25197.707317	3.320312	3829.000000	3720.990269	1.745501
2.880859	28011.707317	3.344727	3704.000000	3718.244487	-0.234051
2.905273	29006.707317	3.369141	3732.000000	3713.661591	0.300186
2.929687	28631.707317	3.393555	3642.000000	3706.605323	-1.070529
2.954102	27550.707317	3.417969	3763.000000	3698.622786	1.049458
2.978516	25655.707317	3.442383	3764.000000	3689.489341	1.214489
3.002930	22953.707317	3.466797	3730.000000	3679.625116	0.824821
3.027344	20717.707317	3.491211	3688.000000	3669.552348	0.303771
3.051758	18001.707317	3.515625	3713.000000	3659.043438	0.885486
3.076172	15276.707317	3.540039	3615.000000	3648.058648	-0.549833
3.100586	12777.707317	3.564453	3648.000000	3636.953012	0.182901
3.125000	10676.707317	3.588867	3636.000000	3625.519340	0.173811
3.149414	8668.707317	3.613281	3556.000000	3614.163979	-0.975379
