Name des Datensatzes:	<3>
Wiederholrate [ns]:	19.580
Zeit Shift [ns] (fest):	0.000
Offset (fest):	3.549

Komponente 1
tau [ns]:	6.011265
A:	0.024447
%:	100.000000
f:	1.000000

t_irf	irf	t	daten	fit	res
[ns]	counts (offset korrigiert)	[ns]			counts 
1.220703	-0.256098	1.684570	121.000000	110.225381	0.979511
1.245117	1.743902	1.708984	114.000000	109.786667	0.394615
1.269531	2.743902	1.733398	122.000000	109.324976	1.147543
1.293945	1.743902	1.757812	101.000000	108.840403	-0.780149
1.318359	1.743902	1.782227	105.000000	108.382548	-0.330103
1.342773	-1.256098	1.806641	114.000000	108.000811	0.561876
1.367187	-0.256098	1.831055	123.000000	107.595867	1.388944
1.391602	0.743902	1.855469	110.000000	107.118302	0.274759
1.416016	-1.256098	1.879883	129.000000	106.741689	1.959735
1.440430	0.743902	1.904297	114.000000	106.292340	0.721888
1.464844	-2.256098	1.928711	100.000000	105.919075	-0.591907
1.489258	-1.256098	1.953125	116.000000	105.572076	0.968208
1.513672	1.743902	1.977539	92.000000	105.127468	-1.368633
1.538086	2.743902	2.001953	99.000000	104.659908	-0.568842
1.562500	0.743902	2.026367	87.000000	104.342767	-1.859340
1.586914	-0.256098	2.050781	106.000000	103.927896	0.201261
1.611328	1.743902	2.075195	112.000000	103.514706	0.801785
1.635742	-0.256098	2.099609	110.000000	103.127945	0.655225
1.660156	-1.256098	2.124023	93.000000	102.767505	-1.012843
1.684570	-0.256098	2.148437	93.000000	102.284756	-0.962784
1.708984	-0.256098	2.172852	93.000000	101.853472	-0.918062
1.733398	-1.256098	2.197266	97.000000	101.399183	-0.446669
1.757812	-2.256098	2.221680	115.000000	101.020996	1.303549
1.782227	-1.256098	2.246094	132.000000	100.570080	2.735623
1.806641	1.743902	2.270508	100.000000	100.244762	-0.024476
1.831055	0.743902	2.294922	103.000000	99.871254	0.308285
1.855469	-2.256098	2.319336	108.000000	99.524014	0.815602
1.879883	1.743902	2.343750	101.000000	99.178182	0.181278
1.904297	-1.256098	2.368164	101.000000	98.808997	0.218013
1.928711	1.743902	2.392578	124.000000	98.565078	2.284123
1.953125	2.743902	2.416992	81.000000	98.396410	-1.932934
1.977539	-1.256098	2.441406	86.000000	98.352196	-1.331972
2.001953	-2.256098	2.465820	121.000000	98.481438	2.047142
2.026367	3.743902	2.490234	95.000000	99.006219	-0.411029
2.050781	-0.256098	2.514648	107.000000	99.578382	0.717475
2.075195	-0.256098	2.539062	95.000000	100.717566	-0.586610
2.099609	0.743902	2.563477	109.000000	102.545243	0.618254
2.124023	1.743902	2.587891	125.000000	104.316005	1.850033
2.148437	-3.256098	2.612305	108.000000	106.648930	0.130007
2.172852	-1.256098	2.636719	115.000000	109.442725	0.518219
2.197266	-2.256098	2.661133	125.000000	114.948130	0.899067
2.221680	0.743902	2.685547	126.000000	124.886932	0.099160
2.246094	-2.256098	2.709961	147.000000	143.721627	0.270396
2.270508	2.743902	2.734375	156.000000	174.807448	-1.505801
2.294922	0.743902	2.758789	250.000000	227.055670	1.451127
2.319336	1.743902	2.783203	296.000000	305.331308	-0.542371
2.343750	1.743902	2.807617	376.000000	410.593289	-1.784013
2.368164	0.743902	2.832031	540.000000	540.974703	-0.041945
2.392578	5.743902	2.856445	688.000000	691.249671	-0.123893
2.416992	8.743902	2.880859	855.000000	848.713045	0.215009
2.441406	13.743902	2.905273	1110.000000	1006.602617	3.103474
2.465820	20.743902	2.929687	1239.000000	1164.174040	2.125772
2.490234	36.743902	2.954102	1379.000000	1306.056401	1.964287
2.514648	38.743902	2.978516	1539.000000	1431.941982	2.728977
2.539062	61.743902	3.002930	1597.000000	1544.791832	1.306430
2.563477	89.743902	3.027344	1718.000000	1639.881274	1.884706
2.587891	87.743902	3.051758	1832.000000	1724.040122	2.522317
2.612305	110.743902	3.076172	1906.000000	1793.228278	2.583085
2.636719	129.743902	3.100586	1985.000000	1847.679698	3.082155
2.661133	239.743902	3.125000	2019.000000	1891.588021	2.835581
2.685547	419.743902	3.149414	1930.000000	1923.436482	0.149403
2.709961	780.743902	3.173828	2028.000000	1947.605901	1.785214
2.734375	1278.743902	3.198242	2035.000000	1965.686903	1.536502
2.758789	2138.743902	3.222656	2014.000000	1977.877441	0.804913
2.783203	3198.743902	3.247070	2031.000000	1984.721225	1.026897
2.807617	4301.743902	3.271484	1979.000000	1987.923193	-0.200585
2.832031	5333.743902	3.295898	2002.000000	1988.933835	0.292022
2.856445	6158.743902	3.320312	2099.000000	1989.098747	2.398813
2.880859	6473.743902	3.344727	1976.000000	1987.802508	-0.265510
2.905273	6516.743902	3.369141	2005.000000	1984.778745	0.451597
2.929687	6529.743902	3.393555	2082.000000	1980.752327	2.218936
2.954102	5921.743902	3.417969	2052.000000	1976.469935	1.667367
2.978516	5298.743902	3.442383	2037.000000	1971.858345	1.443322
3.002930	4792.743902	3.466797	1962.000000	1967.017907	-0.113285
3.027344	4093.743902	3.491211	2027.000000	1962.048564	1.442653
3.051758	3667.743902	3.515625	2103.000000	1956.678545	3.190718
3.076172	3076.743902	3.540039	1989.000000	1950.859967	0.855192
3.100586	2492.743902	3.564453	1966.000000	1945.362020	0.465453
3.125000	2075.743902	3.588867	1940.000000	1939.515048	0.011010
3.149414	1595.743902	3.613281	1958.000000	1933.988821	0.542634
3.173828	1290.743902	3.637695	1911.000000	1927.791883	-0.384122
3.198242	1048.743902	3.662109	1997.000000	1922.313172	1.671302
3.222656	813.743902	3.686523	1908.000000	1916.584374	-0.196526
3.247070	599.743902	3.710937	1927.000000	1910.581749	0.374012
3.271484	453.743902	3.735352	1914.000000	1904.727222	0.211953
3.295898	365.743902	3.759766	1940.000000	1899.094457	0.928713
3.320312	331.743902	3.784180	1950.000000	1893.682553	1.275339
3.344727	272.743902	3.808594	1896.000000	1887.723244	0.190082
3.369141	202.743902	3.833008	1871.000000	1882.060382	-0.255701
3.393555	161.743902	3.857422	1907.000000	1876.866044	0.690050
3.417969	150.743902	3.881836	1959.000000	1871.519481	1.976488
3.442383	136.743902	3.906250	1805.000000	1866.293605	-1.442702
3.466797	126.743902	3.930664	1838.000000	1861.955298	-0.558765
3.491211	120.743902	3.955078	1836.000000	1857.238512	-0.495664
3.515625	103.743902	3.979492	1818.000000	1852.540844	-0.810095
3.540039	84.743902	4.003906	1885.000000	1847.936478	0.853672
3.564453	96.743902	4.028320	1898.000000	1843.053726	1.261218
3.588867	81.743902	4.052734	1817.000000	1837.893718	-0.490160
3.613281	93.743902	4.077148	1774.000000	1832.507085	-1.389094
3.637695	65.743902	4.101562	1849.000000	1827.365070	0.503138
3.662109	93.743902	4.125977	1817.000000	1821.946849	-0.116052
3.686523	82.743902	4.150391	1779.000000	1816.080263	-0.879134
3.710937	70.743902	4.174805	1773.000000	1810.088932	-0.880826
3.735352	75.743902	4.199219	1917.000000	1804.196147	2.576398
3.759766	83.743902	4.223633	1778.000000	1798.252984	-0.480312
3.784180	91.743902	4.248047	1836.000000	1791.739815	1.032944
3.808594	68.743902	4.272461	1811.000000	1785.426323	0.600944
3.833008	79.743902	4.296875	1794.000000	1779.163174	0.350292
3.857422	97.743902	4.321289	1756.000000	1772.653117	-0.397405
3.881836	90.743902	4.345703	1719.000000	1765.872399	-1.130523
3.906250	94.743902	4.370117	1751.000000	1759.242934	-0.196988
3.930664	129.743902	4.394531	1815.000000	1752.962140	1.456192
3.955078	113.743902	4.418945	1791.000000	1746.236478	1.057734
3.979492	113.743902	4.443359	1749.000000	1739.736108	0.221513
4.003906	116.743902	4.467773	1706.000000	1733.088808	-0.655844
4.028320	104.743902	4.492187	1769.000000	1726.394188	1.012989
4.052734	92.743902	4.516602	1730.000000	1719.751456	0.246399
4.077148	82.743902	4.541016	1705.000000	1713.308926	-0.201225
4.101562	91.743902	4.565430	1736.000000	1706.743985	0.702167
4.125977	79.743902	4.589844	1673.000000	1700.255160	-0.666347
4.150391	60.743902	4.614258	1645.000000	1693.743127	-1.201795
4.174805	54.743902	4.638672	1690.000000	1687.356505	0.064304
4.199219	57.743902	4.663086	1632.000000	1680.847245	-1.209149
4.223633	54.743902	4.687500	1588.000000	1674.587153	-2.172842
4.248047	30.743902	4.711914	1687.000000	1668.253419	0.456420
4.272461	37.743902	4.736328	1674.000000	1661.945356	0.294630
4.296875	38.743902	4.760742	1684.000000	1655.390567	0.697169
4.321289	27.743902	4.785156	1572.000000	1649.159394	-1.946088
4.345703	15.743902	4.809570	1584.000000	1642.656428	-1.473798
4.370117	20.743902	4.833984	1571.000000	1636.254082	-1.646340
4.394531	33.743902	4.858398	1658.000000	1629.927194	0.689435
4.418945	14.743902	4.882812	1624.000000	1623.551688	0.011125
4.443359	22.743902	4.907227	1507.000000	1617.276284	-2.840701
4.467773	15.743902	4.931641	1612.000000	1611.100577	0.022402
4.492187	12.743902	4.956055	1537.000000	1604.776624	-1.728793
4.516602	13.743902	4.980469	1500.000000	1598.503057	-2.543338
4.541016	20.743902	5.004883	1540.000000	1592.279671	-1.332209
4.565430	14.743902	5.029297	1554.000000	1586.106263	-0.814450
4.589844	16.743902	5.053711	1578.000000	1579.933124	-0.048664
4.614258	14.743902	5.078125	1533.000000	1573.760250	-1.041036
4.638672	18.743902	5.102539	1534.000000	1567.736167	-0.861357
4.663086	12.743902	5.126953	1516.000000	1561.563222	-1.170213
4.687500	21.743902	5.151367	1504.000000	1555.415297	-1.325771
4.711914	17.743902	5.175781	1484.000000	1549.341798	-1.696189
4.736328	17.743902	5.200195	1471.000000	1543.342424	-1.886196
4.760742	6.743902	5.224609	1547.000000	1537.317859	0.246165
4.785156	18.743902	5.249023	1444.000000	1531.317712	-2.297835
4.809570	6.743902	5.273437	1486.000000	1525.539916	-1.025714
4.833984	9.743902	5.297852	1451.000000	1519.463737	-1.797326
4.858398	11.743902	5.322266	1499.000000	1513.511201	-0.374803
4.882812	8.743902	5.346680	1447.000000	1507.582792	-1.592630
4.907227	11.743902	5.371094	1456.000000	1501.925952	-1.203587
4.931641	14.743902	5.395508	1466.000000	1496.044499	-0.784690
4.956055	7.743902	5.419922	1491.000000	1490.261147	0.019135
4.980469	8.743902	5.444336	1455.000000	1484.253696	-0.766919
5.004883	9.743902	5.468750	1472.000000	1478.542888	-0.170536
5.029297	10.743902	5.493164	1409.000000	1472.681949	-1.696527
5.053711	9.743902	5.517578	1386.000000	1466.869519	-2.172217
5.078125	8.743902	5.541992	1438.000000	1461.006386	-0.606693
5.102539	13.743902	5.566406	1453.000000	1455.191771	-0.057499
5.126953	6.743902	5.590820	1395.000000	1449.400723	-1.456524
5.151367	6.743902	5.615234	1400.000000	1443.781672	-1.170114
5.175781	8.743902	5.639648	1449.000000	1438.036871	0.288005
5.200195	10.743902	5.664062	1428.000000	1432.290601	-0.113541
5.224609	8.743902	5.688477	1419.000000	1426.542867	-0.200237
5.249023	8.743902	5.712891	1443.000000	1420.917446	0.581321
5.273437	16.743902	5.737305	1411.000000	1415.191055	-0.111573
