Name des Datensatzes:	BLOCK 2
Wiederholrate [ns]:	19.580
Zeit Shift [ns] (fest):	0.000
Offset (fest):	3.549

Komponente 1
tau [ns]:	5.307580
A:	0.230599
%:	100.000000
f:	1.000000

t_irf	irf	t	daten	fit	res
[ns]	counts (offset korrigiert)	[ns]			counts 
1.220703	-0.256098	1.684570	706.000000	665.321523	1.530955
1.245117	1.743902	1.708984	670.000000	662.224847	0.300380
1.269531	2.743902	1.733398	692.000000	658.909607	1.257908
1.293945	1.743902	1.757812	688.000000	655.376806	1.243748
1.318359	1.743902	1.782227	711.000000	652.092993	2.209185
1.342773	-1.256098	1.806641	701.000000	649.522578	1.944275
1.367187	-0.256098	1.831055	727.000000	646.731184	2.977006
1.391602	0.743902	1.855469	670.000000	643.254273	1.033278
1.416016	-1.256098	1.879883	686.000000	640.724422	1.728630
1.440430	0.743902	1.904297	662.000000	637.507853	0.951914
1.464844	-2.256098	1.928711	714.000000	635.004374	2.956337
1.489258	-1.256098	1.953125	652.000000	632.745159	0.754078
1.513672	1.743902	1.977539	637.000000	629.565210	0.294577
1.538086	2.743902	2.001953	667.000000	626.167078	1.581057
1.562500	0.743902	2.026367	676.000000	624.181197	1.993031
1.586914	-0.256098	2.050781	634.000000	621.273325	0.505441
1.611328	1.743902	2.075195	625.000000	618.378799	0.264848
1.635742	-0.256098	2.099609	636.000000	615.730333	0.803745
1.660156	-1.256098	2.124023	668.000000	613.326797	2.115370
1.684570	-0.256098	2.148437	622.000000	609.770412	0.490362
1.708984	-0.256098	2.172852	663.000000	606.695900	2.186670
1.733398	-1.256098	2.197266	662.000000	603.402723	2.277448
1.757812	-2.256098	2.221680	650.000000	600.822986	1.928881
1.782227	-1.256098	2.246094	639.000000	597.556760	1.639469
1.806641	1.743902	2.270508	615.000000	595.469404	0.787550
1.831055	0.743902	2.294922	708.000000	592.926075	4.324743
1.855469	-2.256098	2.319336	629.000000	590.627194	1.530024
1.879883	1.743902	2.343750	635.000000	588.338863	1.851691
1.904297	-1.256098	2.368164	665.000000	585.828258	3.070148
1.928711	1.743902	2.392578	626.000000	584.493055	1.658951
1.953125	2.743902	2.416992	657.000000	583.862306	2.853373
1.977539	-1.256098	2.441406	688.000000	584.398330	3.949777
2.001953	-2.256098	2.465820	651.000000	586.561325	2.525551
2.026367	3.743902	2.490234	627.000000	592.438807	1.380241
2.050781	-0.256098	2.514648	670.000000	598.754866	2.752440
2.075195	-0.256098	2.539062	660.000000	610.395782	1.930842
2.099609	0.743902	2.563477	666.000000	628.500997	1.453057
2.124023	1.743902	2.587891	726.000000	646.057570	2.966942
2.148437	-3.256098	2.612305	671.000000	668.887414	0.081555
2.172852	-1.256098	2.636719	756.000000	696.035225	2.180898
2.197266	-2.256098	2.661133	741.000000	748.663783	-0.281536
2.221680	0.743902	2.685547	850.000000	842.950455	0.241797
2.246094	-2.256098	2.709961	989.000000	1020.836477	-1.012341
2.270508	2.743902	2.734375	1168.000000	1313.828470	-4.266983
2.294922	0.743902	2.758789	1621.000000	1805.663014	-4.586574
2.319336	1.743902	2.783203	2254.000000	2541.982719	-6.065819
2.343750	1.743902	2.807617	3157.000000	3531.674934	-6.668334
2.368164	0.743902	2.832031	4425.000000	4757.049779	-4.991678
2.392578	5.743902	2.856445	5989.000000	6168.841052	-2.323869
