Name des Datensatzes:	<3>
Wiederholrate [ns]:	19,580
Zeit Shift [ns] (fest):	0,000
Offset (fest):	3,549

Komponente 1
tau [ns]:	5,971306
A:	0,256480
%:	100,000000
f:	1,000000

t_irf	irf	t	daten	fit	res
[ns]	counts (offset korrigiert)	[ns]			counts 
1,220703	-0,256098	1,684570	1161,000000	1099,087307	1,817036
1,245117	1,743902	1,708984	1126,000000	1094,550777	0,937218
1,269531	2,743902	1,733398	1161,000000	1089,773103	2,090393
1,293945	1,743902	1,757812	1162,000000	1084,755269	2,266031
1,318359	1,743902	1,782227	1057,000000	1080,017563	-0,707981
1,342773	-1,256098	1,806641	1066,000000	1076,078149	-0,308676
1,367187	-0,256098	1,831055	1121,000000	1071,895156	1,466633
1,391602	0,743902	1,855469	1157,000000	1066,950268	2,647377
1,416016	-1,256098	1,879883	1102,000000	1063,064171	1,172894
1,440430	0,743902	1,904297	1033,000000	1058,414970	-0,790750
1,464844	-2,256098	1,928711	1101,000000	1054,563699	1,399471
1,489258	-1,256098	1,953125	1094,000000	1050,987797	1,300418
1,513672	1,743902	1,977539	1091,000000	1046,387870	1,350643
1,538086	2,743902	2,001953	1055,000000	1041,547057	0,414182
1,562500	0,743902	2,026367	1049,000000	1038,283919	0,330863
1,586914	-0,256098	2,050781	1101,000000	1033,995480	2,019345
1,611328	1,743902	2,075195	1044,000000	1029,724539	0,441814
1,635742	-0,256098	2,099609	1058,000000	1025,730678	0,992081
1,660156	-1,256098	2,124023	1046,000000	1022,012766	0,741676
1,684570	-0,256098	2,148437	1102,000000	1017,011756	2,560166
1,708984	-0,256098	2,172852	1043,000000	1012,550458	0,942841
1,733398	-1,256098	2,197266	1084,000000	1007,847709	2,312961
1,757812	-2,256098	2,221680	1060,000000	1003,943110	1,721774
1,782227	-1,256098	2,246094	1074,000000	999,275481	2,280137
1,806641	1,743902	2,270508	1098,000000	995,925167	3,080474
1,831055	0,743902	2,294922	1030,000000	992,069214	1,181880
1,855469	-2,256098	2,319336	1000,000000	988,488649	0,364021
1,879883	1,743902	2,343750	1109,000000	984,922693	3,725860
1,904297	-1,256098	2,368164	1010,000000	981,111634	0,908997
1,928711	1,743902	2,392578	1068,000000	978,614393	2,735155
1,953125	2,743902	2,416992	960,000000	976,906304	-0,545649
1,977539	-1,256098	2,441406	1063,000000	976,503454	2,652969
2,001953	-2,256098	2,465820	1031,000000	977,919825	1,653115
2,026367	3,743902	2,490234	948,000000	983,484879	-1,152495
2,050781	-0,256098	2,514648	992,000000	989,546535	0,077898
2,075195	-0,256098	2,539062	1038,000000	1001,555497	1,131184
2,099609	0,743902	2,563477	1029,000000	1020,785770	0,256070
2,124023	1,743902	2,587891	1090,000000	1039,418272	1,532076
2,148437	-3,256098	2,612305	1132,000000	1063,946789	2,022672
2,172852	-1,256098	2,636719	1082,000000	1093,308649	-0,343793
2,197266	-2,256098	2,661133	1152,000000	1151,112636	0,026144
2,221680	0,743902	2,685547	1243,000000	1255,418476	-0,352235
2,246094	-2,256098	2,709961	1270,000000	1453,033788	-5,136052
2,270508	2,743902	2,734375	1609,000000	1779,150436	-4,241847
2,294922	0,743902	2,758789	1896,000000	2327,238824	-9,903728
2,319336	1,743902	2,783203	2679,000000	3148,324043	-9,067477
2,343750	1,743902	2,807617	3659,000000	4252,457323	-9,810887
